# https://www.kaggle.com/jayrav13/olympic-track-field-results
year,gold,silver,bronze
1896,10730.0,11163.0,11195.0
1900,10785.0,11057.0,13034.0
1904,12533.0,12892.0,13653.0
1908,10518.4,10566.0,10630.4
1912,9414.8,9472.0,9522.4
1920,9155.8,9168.6,9392.8
1924,9682.6,10039.6,10094.0
1928,9177.0,9203.0,9302.0
1932,9096.0,9115.0,9132.0
1936,8959.2,9083.2,9102.0
1948,9291.6,9307.6,9333.6
1952,8583.2,8735.0,8767.0
1956,8700.0,8792.0,8867.0
1960,8116.2,8141.6,8238.2
1964,7931.2,8179.2,8182.8
1968,8426.4,8611.0,8625.0
1972,7939.8,8071.8,8108.4
1976,7795.0,7845.8,7872.6
1980,7863.0,7880.0,7895.0
1984,7761.0,7796.0,7798.0
1988,7832.0,7847.0,7859.0
1992,8003.0,8025.0,8040.0
1996,7956.0,7959.0,7964.0
2000,7811.0,7831.0,7870.0
2004,7855.0,7889.0,7931.0
2008,7592.0,7636.0,7800.0
2012,7681.0,7707.0,7777.0
2016,7724.0,7794.0,7805.0
